team,opponent,wins,losses
noobcoder,kingdom-of-afternoon-naps,9,48
noobcoder,the-mad-robotanists,0,19
noobcoder,the-casuals,19,75
noobcoder,chios,9,48
noobcoder,wut,27,55
noobcoder,binary-tree-stars,5,37
noobcoder,nausicaa,0,24
noobcoder,golbat-plants,16,34
noobcoder,the-goldman-clause,0,9
noobcoder,something-fun,8,28
noobcoder,needs-review,0,19
noobcoder,the-bagelers,5,35
noobcoder,null,0,45
noobcoder,nurv,19,53
noobcoder,gg-no-re,47,66
noobcoder,linymf,23,64
noobcoder,paper-pumpkin-posse,2,14
noobcoder,bojibbles,48,37
noobcoder,u-w0t-m8,0,32
noobcoder,the-great-dequeue-tree,16,58
noobcoder,failedtomakeateamname_2jpg,0,27
noobcoder,rest-in-pepperonis,29,37
noobcoder,the-ladder-dwellers,21,54
noobcoder,sudo-team,19,48
noobcoder,one-man-down,12,28
noobcoder,ratchet-rockers,9,47
noobcoder,420_cultivate_it,29,27
noobcoder,farally,15,38
noobcoder,lumate,17,85
noobcoder,we-came-for-the-food,0,24
noobcoder,the-ancients-are-at-mac-ten-spittin,6,28
noobcoder,mendelian-nightmare,1,48
noobcoder,teem-bahd-spelers,0,19
noobcoder,little-team-of-horrors,3,58
noobcoder,cognitive-play,2,33
noobcoder,team-gen-knoxx,14,65
noobcoder,petey-piranha,1,32
noobcoder,oversized-grow-lamp,0,14
noobcoder,we-came-for-the-shirts,16,39
noobcoder,the-square-roots,0,26
noobcoder,7-liters-of-darkness,2,26
noobcoder,farm-simulator-2014,0,21
noobcoder,tbredblacktree,42,29
noobcoder,the-deku-scrubs,0,20
kingdom-of-afternoon-naps,noobcoder,48,9
kingdom-of-afternoon-naps,the-mad-robotanists,23,24
kingdom-of-afternoon-naps,chios,42,21
kingdom-of-afternoon-naps,wut,55,10
kingdom-of-afternoon-naps,binary-tree-stars,43,31
kingdom-of-afternoon-naps,nausicaa,0,67
kingdom-of-afternoon-naps,golbat-plants,15,40
kingdom-of-afternoon-naps,needs-review,0,34
kingdom-of-afternoon-naps,something-fun,4,56
kingdom-of-afternoon-naps,the-goldman-clause,2,30
kingdom-of-afternoon-naps,the-bagelers,7,52
kingdom-of-afternoon-naps,null,0,45
kingdom-of-afternoon-naps,nurv,57,11
kingdom-of-afternoon-naps,gg-no-re,91,14
kingdom-of-afternoon-naps,linymf,42,15
kingdom-of-afternoon-naps,paper-pumpkin-posse,0,40
kingdom-of-afternoon-naps,bojibbles,73,1
kingdom-of-afternoon-naps,u-w0t-m8,35,32
kingdom-of-afternoon-naps,the-great-dequeue-tree,69,17
kingdom-of-afternoon-naps,failedtomakeateamname_2jpg,0,54
kingdom-of-afternoon-naps,rest-in-pepperonis,33,25
kingdom-of-afternoon-naps,the-ladder-dwellers,57,12
kingdom-of-afternoon-naps,sudo-team,62,7
kingdom-of-afternoon-naps,one-man-down,4,35
kingdom-of-afternoon-naps,ratchet-rockers,13,53
kingdom-of-afternoon-naps,420_cultivate_it,70,0
kingdom-of-afternoon-naps,farally,44,12
kingdom-of-afternoon-naps,lumate,31,39
kingdom-of-afternoon-naps,we-came-for-the-food,0,55
kingdom-of-afternoon-naps,the-ancients-are-at-mac-ten-spittin,13,42
kingdom-of-afternoon-naps,mendelian-nightmare,8,63
kingdom-of-afternoon-naps,teem-bahd-spelers,0,33
kingdom-of-afternoon-naps,little-team-of-horrors,23,38
kingdom-of-afternoon-naps,farm-simulator-2014,0,52
kingdom-of-afternoon-naps,cognitive-play,0,53
kingdom-of-afternoon-naps,team-gen-knoxx,23,31
kingdom-of-afternoon-naps,petey-piranha,12,35
kingdom-of-afternoon-naps,oversized-grow-lamp,0,36
kingdom-of-afternoon-naps,we-came-for-the-shirts,39,25
kingdom-of-afternoon-naps,the-square-roots,0,40
kingdom-of-afternoon-naps,7-liters-of-darkness,6,46
kingdom-of-afternoon-naps,the-casuals,41,30
kingdom-of-afternoon-naps,tbredblacktree,74,0
kingdom-of-afternoon-naps,the-deku-scrubs,0,38
the-mad-robotanists,noobcoder,19,0
the-mad-robotanists,kingdom-of-afternoon-naps,24,23
the-mad-robotanists,chios,41,0
the-mad-robotanists,wut,29,0
the-mad-robotanists,420_cultivate_it,30,0
the-mad-robotanists,binary-tree-stars,77,1
the-mad-robotanists,nausicaa,96,0
the-mad-robotanists,golbat-plants,56,51
the-mad-robotanists,needs-review,9,75
the-mad-robotanists,something-fun,6,46
the-mad-robotanists,the-goldman-clause,86,18
the-mad-robotanists,the-bagelers,57,5
the-mad-robotanists,null,56,0
the-mad-robotanists,nurv,34,0
the-mad-robotanists,gg-no-re,17,0
the-mad-robotanists,linymf,26,0
the-mad-robotanists,paper-pumpkin-posse,20,119
the-mad-robotanists,bojibbles,29,0
the-mad-robotanists,u-w0t-m8,62,0
the-mad-robotanists,the-great-dequeue-tree,22,0
the-mad-robotanists,failedtomakeateamname_2jpg,55,0
the-mad-robotanists,rest-in-pepperonis,30,0
the-mad-robotanists,the-ladder-dwellers,37,0
the-mad-robotanists,sudo-team,25,0
the-mad-robotanists,one-man-down,59,0
the-mad-robotanists,ratchet-rockers,37,0
the-mad-robotanists,farm-simulator-2014,51,43
the-mad-robotanists,farally,33,0
the-mad-robotanists,we-came-for-the-food,95,0
the-mad-robotanists,lumate,30,0
the-mad-robotanists,the-ancients-are-at-mac-ten-spittin,57,0
the-mad-robotanists,petey-piranha,74,0
the-mad-robotanists,teem-bahd-spelers,82,53
the-mad-robotanists,little-team-of-horrors,35,0
the-mad-robotanists,cognitive-play,76,20
the-mad-robotanists,team-gen-knoxx,17,0
the-mad-robotanists,mendelian-nightmare,60,4
the-mad-robotanists,oversized-grow-lamp,79,57
the-mad-robotanists,we-came-for-the-shirts,39,0
the-mad-robotanists,the-square-roots,14,91
the-mad-robotanists,7-liters-of-darkness,76,10
the-mad-robotanists,the-casuals,13,0
the-mad-robotanists,tbredblacktree,27,0
the-mad-robotanists,the-deku-scrubs,74,11
chios,kingdom-of-afternoon-naps,21,42
chios,noobcoder,48,9
chios,the-mad-robotanists,0,41
chios,wut,57,30
chios,420_cultivate_it,65,3
chios,binary-tree-stars,18,38
chios,nausicaa,0,50
chios,the-goldman-clause,0,28
chios,something-fun,0,40
chios,needs-review,1,31
chios,the-bagelers,0,54
chios,null,11,47
chios,nurv,62,15
chios,linymf,35,18
chios,the-casuals,82,6
chios,bojibbles,47,19
chios,u-w0t-m8,0,53
chios,we-came-for-the-shirts,36,33
chios,the-great-dequeue-tree,55,18
chios,failedtomakeateamname_2jpg,0,58
chios,rest-in-pepperonis,48,18
chios,oversized-grow-lamp,0,43
chios,the-ladder-dwellers,78,11
chios,sudo-team,53,23
chios,one-man-down,9,42
chios,ratchet-rockers,13,60
chios,gg-no-re,67,12
chios,farally,44,28
chios,lumate,42,40
chios,we-came-for-the-food,0,36
chios,the-ancients-are-at-mac-ten-spittin,15,51
chios,mendelian-nightmare,6,50
chios,paper-pumpkin-posse,0,29
chios,little-team-of-horrors,29,30
chios,cognitive-play,1,41
chios,team-gen-knoxx,62,7
chios,petey-piranha,4,51
chios,golbat-plants,4,44
chios,teem-bahd-spelers,0,37
chios,the-square-roots,0,32
chios,7-liters-of-darkness,0,54
chios,farm-simulator-2014,1,56
chios,tbredblacktree,42,26
chios,the-deku-scrubs,0,53
wut,noobcoder,55,27
wut,kingdom-of-afternoon-naps,10,55
wut,the-mad-robotanists,0,29
wut,chios,30,57
wut,binary-tree-stars,1,59
wut,nausicaa,0,30
wut,golbat-plants,0,19
wut,the-goldman-clause,0,23
wut,something-fun,1,36
wut,needs-review,0,18
wut,the-bagelers,0,40
wut,null,4,66
wut,nurv,38,43
wut,gg-no-re,78,23
wut,linymf,47,45
wut,the-casuals,71,28
wut,bojibbles,19,58
wut,u-w0t-m8,1,48
wut,the-great-dequeue-tree,45,48
wut,failedtomakeateamname_2jpg,0,48
wut,rest-in-pepperonis,23,43
wut,the-ladder-dwellers,45,53
wut,sudo-team,48,50
wut,one-man-down,1,33
wut,ratchet-rockers,12,55
wut,420_cultivate_it,11,64
wut,farally,32,40
wut,lumate,73,42
wut,we-came-for-the-food,1,36
wut,the-ancients-are-at-mac-ten-spittin,4,55
wut,paper-pumpkin-posse,0,22
wut,petey-piranha,1,47
wut,teem-bahd-spelers,0,31
wut,little-team-of-horrors,30,34
wut,cognitive-play,1,36
wut,team-gen-knoxx,58,21
wut,mendelian-nightmare,0,53
wut,oversized-grow-lamp,0,26
wut,we-came-for-the-shirts,2,71
wut,the-square-roots,0,27
wut,7-liters-of-darkness,2,39
wut,farm-simulator-2014,0,45
wut,tbredblacktree,23,60
wut,the-deku-scrubs,0,25
binary-tree-stars,noobcoder,37,5
binary-tree-stars,kingdom-of-afternoon-naps,31,43
binary-tree-stars,the-mad-robotanists,1,77
binary-tree-stars,the-casuals,49,3
binary-tree-stars,chios,38,18
binary-tree-stars,wut,59,1
binary-tree-stars,nausicaa,0,83
binary-tree-stars,golbat-plants,2,66
binary-tree-stars,the-goldman-clause,0,44
binary-tree-stars,something-fun,57,1
binary-tree-stars,needs-review,0,47
binary-tree-stars,the-bagelers,76,10
binary-tree-stars,null,29,43
binary-tree-stars,nurv,45,1
binary-tree-stars,gg-no-re,49,1
binary-tree-stars,linymf,33,1
binary-tree-stars,teem-bahd-spelers,0,51
binary-tree-stars,bojibbles,40,13
binary-tree-stars,u-w0t-m8,3,65
binary-tree-stars,the-great-dequeue-tree,36,1
binary-tree-stars,failedtomakeateamname_2jpg,72,7
binary-tree-stars,rest-in-pepperonis,58,1
binary-tree-stars,the-ladder-dwellers,38,0
binary-tree-stars,sudo-team,50,1
binary-tree-stars,one-man-down,44,20
binary-tree-stars,ratchet-rockers,59,16
binary-tree-stars,420_cultivate_it,51,9
binary-tree-stars,farally,59,1
binary-tree-stars,lumate,39,18
binary-tree-stars,we-came-for-the-food,0,50
binary-tree-stars,the-ancients-are-at-mac-ten-spittin,26,43
binary-tree-stars,mendelian-nightmare,63,0
binary-tree-stars,paper-pumpkin-posse,0,43
binary-tree-stars,little-team-of-horrors,41,8
binary-tree-stars,cognitive-play,2,53
binary-tree-stars,team-gen-knoxx,31,2
binary-tree-stars,petey-piranha,34,19
binary-tree-stars,oversized-grow-lamp,0,41
binary-tree-stars,we-came-for-the-shirts,70,8
binary-tree-stars,the-square-roots,0,67
binary-tree-stars,7-liters-of-darkness,3,55
binary-tree-stars,farm-simulator-2014,47,42
binary-tree-stars,tbredblacktree,35,27
binary-tree-stars,the-deku-scrubs,2,83
nausicaa,kingdom-of-afternoon-naps,67,0
nausicaa,noobcoder,24,0
nausicaa,the-mad-robotanists,0,96
nausicaa,the-casuals,30,0
nausicaa,chios,50,0
nausicaa,wut,30,0
nausicaa,binary-tree-stars,83,0
nausicaa,golbat-plants,5,68
nausicaa,the-goldman-clause,0,66
nausicaa,something-fun,70,0
nausicaa,needs-review,1,87
nausicaa,the-bagelers,70,0
nausicaa,null,56,0
nausicaa,nurv,40,0
nausicaa,gg-no-re,29,0
nausicaa,linymf,32,1
nausicaa,teem-bahd-spelers,8,77
nausicaa,bojibbles,50,0
nausicaa,u-w0t-m8,81,0
nausicaa,the-great-dequeue-tree,36,0
nausicaa,failedtomakeateamname_2jpg,22,54
nausicaa,rest-in-pepperonis,34,0
nausicaa,the-ladder-dwellers,34,0
nausicaa,sudo-team,33,0
nausicaa,one-man-down,68,3
nausicaa,ratchet-rockers,49,0
nausicaa,420_cultivate_it,29,14
nausicaa,farally,50,0
nausicaa,lumate,29,0
nausicaa,we-came-for-the-food,19,52
nausicaa,the-ancients-are-at-mac-ten-spittin,68,0
nausicaa,mendelian-nightmare,56,0
nausicaa,paper-pumpkin-posse,36,50
nausicaa,little-team-of-horrors,36,0
nausicaa,cognitive-play,52,21
nausicaa,team-gen-knoxx,22,0
nausicaa,petey-piranha,83,0
nausicaa,oversized-grow-lamp,0,94
nausicaa,we-came-for-the-shirts,53,1
nausicaa,the-square-roots,0,74
nausicaa,7-liters-of-darkness,66,3
nausicaa,farm-simulator-2014,0,88
nausicaa,tbredblacktree,37,0
nausicaa,the-deku-scrubs,81,2
golbat-plants,noobcoder,34,16
golbat-plants,kingdom-of-afternoon-naps,40,15
golbat-plants,the-mad-robotanists,51,56
golbat-plants,chios,44,4
golbat-plants,wut,19,0
golbat-plants,420_cultivate_it,48,0
golbat-plants,binary-tree-stars,66,2
golbat-plants,nausicaa,68,5
golbat-plants,the-goldman-clause,42,61
golbat-plants,something-fun,75,1
golbat-plants,needs-review,31,54
golbat-plants,the-bagelers,61,3
golbat-plants,null,57,1
golbat-plants,nurv,23,0
golbat-plants,gg-no-re,22,0
golbat-plants,linymf,21,0
golbat-plants,paper-pumpkin-posse,9,142
golbat-plants,bojibbles,34,0
golbat-plants,u-w0t-m8,54,7
golbat-plants,the-great-dequeue-tree,25,0
golbat-plants,failedtomakeateamname_2jpg,65,5
golbat-plants,rest-in-pepperonis,37,1
golbat-plants,the-ladder-dwellers,21,0
golbat-plants,sudo-team,27,0
golbat-plants,one-man-down,51,0
golbat-plants,ratchet-rockers,38,0
golbat-plants,farm-simulator-2014,46,23
golbat-plants,farally,35,0
golbat-plants,we-came-for-the-food,1,110
golbat-plants,lumate,29,0
golbat-plants,the-ancients-are-at-mac-ten-spittin,56,3
golbat-plants,mendelian-nightmare,69,1
golbat-plants,teem-bahd-spelers,76,40
golbat-plants,little-team-of-horrors,29,0
golbat-plants,cognitive-play,70,36
golbat-plants,team-gen-knoxx,20,0
golbat-plants,petey-piranha,48,13
golbat-plants,oversized-grow-lamp,68,40
golbat-plants,we-came-for-the-shirts,40,0
golbat-plants,the-square-roots,70,13
golbat-plants,7-liters-of-darkness,74,12
golbat-plants,the-casuals,16,0
golbat-plants,tbredblacktree,36,0
golbat-plants,the-deku-scrubs,45,64
the-goldman-clause,kingdom-of-afternoon-naps,30,2
the-goldman-clause,noobcoder,9,0
the-goldman-clause,the-mad-robotanists,18,86
the-goldman-clause,the-casuals,9,0
the-goldman-clause,chios,28,0
the-goldman-clause,wut,23,0
the-goldman-clause,binary-tree-stars,44,0
the-goldman-clause,nausicaa,66,0
the-goldman-clause,something-fun,66,0
the-goldman-clause,needs-review,76,17
the-goldman-clause,the-bagelers,66,0
the-goldman-clause,null,43,0
the-goldman-clause,nurv,28,0
the-goldman-clause,gg-no-re,20,0
the-goldman-clause,linymf,17,0
the-goldman-clause,teem-bahd-spelers,101,0
the-goldman-clause,bojibbles,16,0
the-goldman-clause,u-w0t-m8,34,4
the-goldman-clause,the-great-dequeue-tree,29,0
the-goldman-clause,failedtomakeateamname_2jpg,61,0
the-goldman-clause,rest-in-pepperonis,21,0
the-goldman-clause,oversized-grow-lamp,61,41
the-goldman-clause,the-ladder-dwellers,21,0
the-goldman-clause,sudo-team,22,0
the-goldman-clause,one-man-down,40,0
the-goldman-clause,ratchet-rockers,27,0
the-goldman-clause,420_cultivate_it,33,0
the-goldman-clause,farally,35,0
the-goldman-clause,we-came-for-the-food,68,10
the-goldman-clause,lumate,14,0
the-goldman-clause,the-ancients-are-at-mac-ten-spittin,47,0
the-goldman-clause,mendelian-nightmare,50,1
the-goldman-clause,paper-pumpkin-posse,23,108
the-goldman-clause,little-team-of-horrors,21,0
the-goldman-clause,cognitive-play,33,40
the-goldman-clause,team-gen-knoxx,10,0
the-goldman-clause,petey-piranha,54,4
the-goldman-clause,golbat-plants,61,42
the-goldman-clause,we-came-for-the-shirts,33,0
the-goldman-clause,the-square-roots,87,10
the-goldman-clause,7-liters-of-darkness,66,0
the-goldman-clause,farm-simulator-2014,33,60
the-goldman-clause,tbredblacktree,28,1
the-goldman-clause,the-deku-scrubs,18,57
something-fun,kingdom-of-afternoon-naps,56,4
something-fun,noobcoder,28,8
something-fun,the-mad-robotanists,46,6
something-fun,the-casuals,40,0
something-fun,chios,40,0
something-fun,wut,36,1
something-fun,binary-tree-stars,1,57
something-fun,nausicaa,0,70
something-fun,golbat-plants,1,75
something-fun,the-goldman-clause,0,66
something-fun,needs-review,2,60
something-fun,the-bagelers,15,55
something-fun,null,63,1
something-fun,nurv,51,1
something-fun,gg-no-re,31,0
something-fun,linymf,39,0
something-fun,paper-pumpkin-posse,0,64
something-fun,bojibbles,50,0
something-fun,u-w0t-m8,70,1
something-fun,the-great-dequeue-tree,47,1
something-fun,failedtomakeateamname_2jpg,72,0
something-fun,rest-in-pepperonis,37,1
something-fun,the-ladder-dwellers,49,0
something-fun,sudo-team,41,2
something-fun,one-man-down,1,56
something-fun,ratchet-rockers,50,2
something-fun,420_cultivate_it,65,0
something-fun,farally,42,2
something-fun,we-came-for-the-food,27,36
something-fun,lumate,28,15
something-fun,the-ancients-are-at-mac-ten-spittin,28,34
something-fun,mendelian-nightmare,38,32
something-fun,teem-bahd-spelers,0,68
something-fun,little-team-of-horrors,50,1
something-fun,cognitive-play,2,88
something-fun,team-gen-knoxx,34,0
something-fun,petey-piranha,30,53
something-fun,oversized-grow-lamp,1,72
something-fun,we-came-for-the-shirts,67,0
something-fun,the-square-roots,30,41
something-fun,7-liters-of-darkness,5,65
something-fun,farm-simulator-2014,87,6
something-fun,tbredblacktree,59,0
something-fun,the-deku-scrubs,1,71
needs-review,kingdom-of-afternoon-naps,34,0
needs-review,noobcoder,19,0
needs-review,the-mad-robotanists,75,9
needs-review,chios,31,1
needs-review,wut,18,0
needs-review,420_cultivate_it,34,0
needs-review,binary-tree-stars,47,0
needs-review,nausicaa,87,1
needs-review,golbat-plants,54,31
needs-review,something-fun,60,2
needs-review,the-goldman-clause,17,76
needs-review,the-bagelers,64,0
needs-review,null,41,0
needs-review,nurv,13,1
needs-review,linymf,23,0
needs-review,teem-bahd-spelers,57,44
needs-review,bojibbles,29,0
needs-review,u-w0t-m8,42,0
needs-review,the-great-dequeue-tree,17,0
needs-review,failedtomakeateamname_2jpg,62,2
needs-review,rest-in-pepperonis,16,0
needs-review,the-ladder-dwellers,20,0
needs-review,sudo-team,20,0
needs-review,one-man-down,34,0
needs-review,ratchet-rockers,46,0
needs-review,gg-no-re,14,0
needs-review,farally,30,0
needs-review,we-came-for-the-food,48,23
needs-review,lumate,16,0
needs-review,the-ancients-are-at-mac-ten-spittin,46,0
needs-review,mendelian-nightmare,40,0
needs-review,paper-pumpkin-posse,16,103
needs-review,little-team-of-horrors,31,0
needs-review,farm-simulator-2014,30,35
needs-review,cognitive-play,34,51
needs-review,team-gen-knoxx,9,0
needs-review,petey-piranha,58,5
needs-review,oversized-grow-lamp,32,71
needs-review,we-came-for-the-shirts,37,2
needs-review,the-square-roots,68,16
needs-review,7-liters-of-darkness,69,0
needs-review,the-casuals,19,0
needs-review,tbredblacktree,30,1
needs-review,the-deku-scrubs,61,10
the-bagelers,noobcoder,35,5
the-bagelers,kingdom-of-afternoon-naps,52,7
the-bagelers,the-mad-robotanists,5,57
the-bagelers,chios,54,0
the-bagelers,wut,40,0
the-bagelers,420_cultivate_it,60,0
the-bagelers,binary-tree-stars,10,76
the-bagelers,nausicaa,0,70
the-bagelers,the-goldman-clause,0,66
the-bagelers,something-fun,55,15
the-bagelers,needs-review,0,64
the-bagelers,gg-no-re,44,0
the-bagelers,the-casuals,46,0
the-bagelers,nurv,51,0
the-bagelers,linymf,36,0
the-bagelers,teem-bahd-spelers,3,58
the-bagelers,bojibbles,49,0
the-bagelers,u-w0t-m8,20,38
the-bagelers,the-great-dequeue-tree,53,0
the-bagelers,failedtomakeateamname_2jpg,67,2
the-bagelers,rest-in-pepperonis,42,3
the-bagelers,oversized-grow-lamp,0,79
the-bagelers,the-ladder-dwellers,60,0
the-bagelers,sudo-team,65,1
the-bagelers,lumate,27,22
the-bagelers,one-man-down,36,16
the-bagelers,ratchet-rockers,46,1
the-bagelers,farm-simulator-2014,73,2
the-bagelers,farally,48,1
the-bagelers,we-came-for-the-food,1,67
the-bagelers,null,63,5
the-bagelers,the-ancients-are-at-mac-ten-spittin,9,60
the-bagelers,mendelian-nightmare,19,58
the-bagelers,paper-pumpkin-posse,0,71
